Count,Tradelist Count,Name,Edition,Card Number,Condition,Language,Foil,Signed,Artist Proof,Altered Art,Misprint,Promo,Textless,My Price
2,,Acolyte of Affliction,THB,,,French,,,,,,,,
1,,Act of Treason,RNA,,,French,,,,,,,,
1,,Aerial Assault,M20,,,French,,,,,,,,
3,,Aeromunculus,RNA,,,French,,,,,,,,
1,,Affectionate Indrik,GRN,,,French,,,,,,,,
2,,Aggressive Mammoth,M20,,,French,,,,,,,,
3,,Air Elemental,M20,,,French,,,,,,,,
4,,Ajani's Pridemate,WAR,,,French,,,,,,,,
2,,"Alirios, Enraptured",THB,,,French,,,,,,,,
4,,Altar of the Pantheon,THB,,,French,,,,,,,,
1,,"Anax, Hardened in the Forge",THB,,,French,,,,,,,,
1,,Angel of Grace,RNA,,,French,,,,,,,,
3,,Angel of Vitality,M20,,,French,,,,,,,,
2,,Angelic Reward,ANA,,,French,,,,,,,,
1,,"Aphemia, the Cacophony",THB,,,French,,,,,,,,
2,,Applied Biomancy,RNA,,,French,,,,,,,,
3,,Archon of Falling Stars,THB,,,French,,,,,,,,
1,,Archon of Sun's Grace,THB,,,French,,,,,,,,
2,,Arena Trickster,THB,,,French,,,,,,,,
2,,Arrester's Admonition,RNA,,,French,,,,,,,,
1,,Arrester's Zeal,RNA,,,French,,,,,,,,
2,,Artful Takedown,GRN,,,French,,,,,,,,
2,,Ashiok's Forerunner,THB,,,French,,,,,,,,
1,,"Ashiok, Sculptor of Fears",THB,,,French,,,,,,,,
4,,Aspect of Lamprey,THB,,,French,,,,,,,,
1,,Aspect of Manticore,THB,,,French,,,,,,,,
1,,Assassin's Trophy,GRN,,,French,,,,,,,,
1,,Assure // Assemble,GRN,,,French,,,,,,,,
1,,"Atris, Oracle of Half-Truths",THB,,,French,,,,,,,,
2,,Augur of Bolas,WAR,,,French,,,,,,,,
1,,"Aurelia, Exemplar of Justice",GRN,,,French,,,,,,,,
1,,Awakening of Vitu-Ghazi,WAR,,,French,,,,,,,,
4,,Azorius Guildgate,RNA,,,French,,,,,,,,
2,,Azorius Knight-Arbiter,RNA,,,French,,,,,,,,
2,,Azorius Skyguard,RNA,,,French,,,,,,,,
3,,Banishing Light,THB,,,French,,,,,,,,
3,,Barkhide Troll,M20,,,French,,,,,,,,
1,,Barrow Witches,ELD,,,French,,,,,,,,
1,,Bartizan Bats,GRN,,,French,,,,,,,,
1,,Basilica Bell-Haunt,RNA,,,French,,,,,,,,
1,,Beamsplitter Mage,GRN,,,French,,,,,,,,
1,,Beanstalk Giant // Fertile Footsteps,ELD,,,French,,,,,,,,
1,,Bedeck // Bedazzle,RNA,,,French,,,,,,,,
1,,Bedevil,RNA,,,French,,,,,,,,
1,,Befuddle,M20,,,French,,,,,,,,
1,,Beloved Princess,ELD,,,French,,,,,,,,
1,,Benthic Biomancer,RNA,,,French,,,,,,,,
1,,Bioessence Hydra,WAR,,,French,,,,,,,,
